,match_id,date,referee,variable,value,venue,team_id,team_name
188,3597833,2021-11-21 09:00:00,Joergen Daugbjerg Burchardt,fouls_for,15,H,8391,FC København
189,3597833,2021-11-21 09:00:00,Joergen Daugbjerg Burchardt,fouls_ag,17,H,8391,FC København
190,3597832,2021-11-21 11:00:00,Morten Krogh,fouls_for,15,H,8113,Midtjylland
191,3597832,2021-11-21 11:00:00,Morten Krogh,fouls_ag,13,H,8113,Midtjylland
192,3597839,2021-11-26 12:00:00,Aydin Uslu,fouls_for,4,H,8071,AGF Aarhus
193,3597839,2021-11-26 12:00:00,Aydin Uslu,fouls_ag,8,H,8071,AGF Aarhus
194,3597843,2021-11-28 07:00:00,Anders Poulsen,fouls_for,16,H,9939,Viborg
195,3597843,2021-11-28 07:00:00,Anders Poulsen,fouls_ag,10,H,9939,Viborg
196,3597847,2022-02-21 12:00:00,Jakob Kehlet,fouls_for,9,H,8410,Randers FC
197,3597847,2022-02-21 12:00:00,Jakob Kehlet,fouls_ag,10,H,8410,Randers FC
198,3597844,2022-02-20 07:00:00,Morten Krogh,fouls_for,17,H,8113,Midtjylland
199,3597844,2022-02-20 07:00:00,Morten Krogh,fouls_ag,13,H,8113,Midtjylland
200,3597848,2022-02-18 12:00:00,Mads-Kristoffer Kristoffersen,fouls_for,16,H,8487,SønderjyskE
201,3597848,2022-02-18 12:00:00,Mads-Kristoffer Kristoffersen,fouls_ag,10,H,8487,SønderjyskE
202,3597849,2022-02-20 07:00:00,Jonas Hansen,fouls_for,9,H,8415,Silkeborg
203,3597849,2022-02-20 07:00:00,Jonas Hansen,fouls_ag,10,H,8415,Silkeborg
204,3597842,2021-11-29 12:00:00,Mads-Kristoffer Kristoffersen,fouls_for,9,H,8231,Vejle Boldklub
205,3597842,2021-11-29 12:00:00,Mads-Kristoffer Kristoffersen,fouls_ag,12,H,8231,Vejle Boldklub
206,3597846,2022-02-20 09:00:00,Jens Maae,fouls_for,10,H,10202,Nordsjælland
207,3597846,2022-02-20 09:00:00,Jens Maae,fouls_ag,7,H,10202,Nordsjælland
208,3597845,2022-02-20 11:00:00,Sandi Putros,fouls_for,6,H,8391,FC København
209,3597845,2022-02-20 11:00:00,Sandi Putros,fouls_ag,11,H,8391,FC København
210,3597841,2021-11-28 07:00:00,Michael Tykgaard,fouls_for,7,H,8414,Odense
211,3597841,2021-11-28 07:00:00,Michael Tykgaard,fouls_ag,7,H,8414,Odense
212,3597838,2021-11-28 09:00:00,Mikkel Redder,fouls_for,7,H,8595,Brøndby IF
213,3597838,2021-11-28 09:00:00,Mikkel Redder,fouls_ag,12,H,8595,Brøndby IF
214,3597840,2021-11-28 11:00:00,Jakob Kehlet,fouls_for,10,H,8470,Aalborg BK
215,3597840,2021-11-28 11:00:00,Jakob Kehlet,fouls_ag,15,H,8470,Aalborg BK
216,3597855,2022-02-27 09:00:00,Jakob Kehlet,fouls_for,4,H,9939,Viborg
217,3597855,2022-02-27 09:00:00,Jakob Kehlet,fouls_ag,7,H,9939,Viborg
218,3597856,2022-03-04 11:00:00,Jens Maae,fouls_for,8,H,8113,Midtjylland
219,3597856,2022-03-04 11:00:00,Jens Maae,fouls_ag,15,H,8113,Midtjylland
220,3597858,2022-03-04 13:00:00,Morten Krogh,fouls_for,6,H,8391,FC København
221,3597858,2022-03-04 13:00:00,Morten Krogh,fouls_ag,6,H,8391,FC København
222,3597854,2022-02-25 12:00:00,Jakob A. Sundberg,fouls_for,17,H,8231,Vejle Boldklub
223,3597854,2022-02-25 12:00:00,Jakob A. Sundberg,fouls_ag,17,H,8231,Vejle Boldklub
224,3597850,2022-02-28 12:00:00,Peter Kjærsgaard-Andersen,fouls_for,14,H,8595,Brøndby IF
225,3597850,2022-02-28 12:00:00,Peter Kjærsgaard-Andersen,fouls_ag,10,H,8595,Brøndby IF
226,3597861,2022-03-06 11:00:00,Jakob Kehlet,fouls_for,3,H,8415,Silkeborg
227,3597861,2022-03-06 11:00:00,Jakob Kehlet,fouls_ag,5,H,8415,Silkeborg
228,3597859,2022-03-06 09:00:00,Sandi Putros,fouls_for,15,H,8470,Aalborg BK
229,3597859,2022-03-06 09:00:00,Sandi Putros,fouls_ag,13,H,8470,Aalborg BK
230,3597851,2022-02-27 07:00:00,Mikkel Redder,fouls_for,11,H,8470,Aalborg BK
231,3597851,2022-02-27 07:00:00,Mikkel Redder,fouls_ag,12,H,8470,Aalborg BK
232,3597853,2022-02-27 07:00:00,Aydin Uslu,fouls_for,13,H,10202,Nordsjælland
233,3597853,2022-02-27 07:00:00,Aydin Uslu,fouls_ag,7,H,10202,Nordsjælland
234,3597857,2022-03-07 12:00:00,Jørgen Daugbjerg Burchardt,fouls_for,10,H,8071,AGF Aarhus
235,3597857,2022-03-07 12:00:00,Jørgen Daugbjerg Burchardt,fouls_ag,6,H,8071,AGF Aarhus
236,3597852,2022-02-27 11:00:00,Jørgen Daugbjerg Burchardt,fouls_for,19,H,8414,Odense
237,3597852,2022-02-27 11:00:00,Jørgen Daugbjerg Burchardt,fouls_ag,11,H,8414,Odense
238,3597865,2022-03-11 12:00:00,Jonas Hansen,fouls_for,11,H,10202,Nordsjælland
239,3597865,2022-03-11 12:00:00,Jonas Hansen,fouls_ag,5,H,10202,Nordsjælland
240,3597860,2022-03-06 07:00:00,Anders Poulsen,fouls_for,16,H,8487,SønderjyskE
241,3597860,2022-03-06 07:00:00,Anders Poulsen,fouls_ag,9,H,8487,SønderjyskE
242,3597863,2022-03-13 11:00:00,Mads-Kristoffer Kristoffersen,fouls_for,7,H,8113,Midtjylland
243,3597863,2022-03-13 11:00:00,Mads-Kristoffer Kristoffersen,fouls_ag,10,H,8113,Midtjylland
244,3597864,2022-03-14 12:00:00,Jakob A. Sundberg,fouls_for,7,H,8414,Odense
245,3597864,2022-03-14 12:00:00,Jakob A. Sundberg,fouls_ag,13,H,8414,Odense
246,3597867,2022-03-13 07:00:00,Michael Tykgaard,fouls_for,5,H,8410,Randers FC
247,3597867,2022-03-13 07:00:00,Michael Tykgaard,fouls_ag,6,H,8410,Randers FC
248,3597868,2022-03-20 07:30:00,Peter Kjærsgaard-Andersen,fouls_for,17,H,8071,AGF Aarhus
249,3597868,2022-03-20 07:30:00,Peter Kjærsgaard-Andersen,fouls_ag,13,H,8071,AGF Aarhus
250,3597870,2022-03-20 07:30:00,Jens Maae,fouls_for,12,H,8470,Aalborg BK
251,3597870,2022-03-20 07:30:00,Jens Maae,fouls_ag,16,H,8470,Aalborg BK
252,3597866,2022-03-13 07:00:00,Anders Poulsen,fouls_for,15,H,9939,Viborg
253,3597866,2022-03-13 07:00:00,Anders Poulsen,fouls_ag,12,H,9939,Viborg
254,3597862,2022-03-13 09:00:00,Morten Krogh,fouls_for,12,H,8595,Brøndby IF
255,3597862,2022-03-13 09:00:00,Morten Krogh,fouls_ag,10,H,8595,Brøndby IF
256,3597871,2022-03-20 07:30:00,Morten Krogh,fouls_for,10,H,8231,Vejle Boldklub
257,3597871,2022-03-20 07:30:00,Morten Krogh,fouls_ag,13,H,8231,Vejle Boldklub
258,3597873,2022-03-20 07:30:00,Sandi Putros,fouls_for,9,H,8415,Silkeborg
259,3597873,2022-03-20 07:30:00,Sandi Putros,fouls_ag,9,H,8415,Silkeborg
260,3597869,2022-03-20 07:30:00,Jakob Kehlet,fouls_for,9,H,8391,FC København
261,3597869,2022-03-20 07:30:00,Jakob Kehlet,fouls_ag,9,H,8391,FC København
262,3597872,2022-03-20 07:30:00,Mikkel Redder,fouls_for,13,H,8487,SønderjyskE
263,3597872,2022-03-20 07:30:00,Mikkel Redder,fouls_ag,10,H,8487,SønderjyskE
264,3847492,2022-04-03 07:00:00,Mads-Kristoffer Kristoffersen,fouls_for,14,H,8414,Odense
265,3847492,2022-04-03 07:00:00,Mads-Kristoffer Kristoffersen,fouls_ag,12,H,8414,Odense
266,3847489,2022-04-03 09:00:00,Aydin Uslu,fouls_for,12,H,8595,Brøndby IF
267,3847489,2022-04-03 09:00:00,Aydin Uslu,fouls_ag,12,H,8595,Brøndby IF
268,3847493,2022-04-01 11:00:00,Jørgen Daugbjerg Burchardt,fouls_for,12,H,9939,Viborg
